# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
0.00724185      	2.12095273e+05
0.00724259      	2.12069756e+05
0.00724334      	2.12043252e+05
0.00724408      	2.12016398e+05
0.00724483      	2.11989330e+05
0.00724558      	2.11962183e+05
0.00724632      	2.11930008e+05
0.00724706      	2.11904666e+05
0.0072478       	2.11878369e+05
0.00724855      	2.11851762e+05
0.00724929      	2.11824986e+05
0.00725003      	2.11792957e+05
0.00725077      	2.11768072e+05
0.00725151      	2.11742225e+05
0.00725224      	2.11716036e+05
0.00725298      	2.11689817e+05
0.00725372      	2.11658197e+05
0.00725445      	2.11633902e+05
0.00725519      	2.11608771e+05
0.00725592      	2.11583311e+05
0.00725665      	2.11552269e+05
0.00725739      	2.11528778e+05
0.00725812      	2.11504364e+05
0.00725885      	2.11479673e+05
0.00725958      	2.11455031e+05
0.00726031      	2.11424752e+05
0.00726104      	2.11402272e+05
0.00726176      	2.11379011e+05
0.00726249      	2.11355495e+05
0.00726321      	2.11326141e+05
0.00726394      	2.11304822e+05
0.00726466      	2.11282632e+05
0.00726539      	2.11260238e+05
0.00726611      	2.11231944e+05
0.00726682      	2.11211816e+05
0.00726754      	2.11190866e+05
0.00726826      	2.11169808e+05
0.00726898      	2.11148819e+05
0.0072697       	2.11121817e+05
0.00727042      	2.11103411e+05
0.00727113      	2.11084202e+05
0.00727185      	2.11064861e+05
0.00727256      	2.11045722e+05
0.00727328      	2.11020369e+05
0.00727399      	2.11003840e+05
0.0072747       	2.10986619e+05
0.00727541      	2.10969272e+05
0.00727612      	2.10952094e+05
0.00727683      	2.10928604e+05
0.00727754      	2.10914216e+05
0.00727825      	2.10899086e+05
0.00727896      	2.10883946e+05
0.00727966      	2.10868983e+05
0.00728037      	2.10847437e+05
0.00728107      	2.10835394e+05
0.00728177      	2.10822594e+05
0.00728248      	2.10809740e+05
0.00728318      	2.10797180e+05
0.00728389      	2.10784958e+05
0.00728459      	2.10765947e+05
0.00728528      	2.10756845e+05
0.00728598      	2.10747001e+05
0.00728668      	2.10737124e+05
0.00728738      	2.10727566e+05
0.00728808      	2.10710897e+05
0.00728877      	2.10704374e+05
0.00728947      	2.10697183e+05
0.00729016      	2.10689942e+05
0.00729086      	2.10682970e+05
0.00729155      	2.10676471e+05
0.00729225      	2.10670422e+05
0.00729294      	2.10657011e+05
0.00729363      	2.10654325e+05
0.00729432      	2.10650881e+05
0.00729501      	2.10647418e+05
0.0072957       	2.10644301e+05
0.00729639      	2.10641586e+05
0.00729708      	2.10631140e+05
0.00729777      	2.10631833e+05
0.00729845      	2.10631738e+05
0.00729914      	2.10631618e+05
0.00729982      	2.10631847e+05
0.00730051      	2.10632483e+05
0.00730119      	2.10625020e+05
0.00730187      	2.10629140e+05
0.00730255      	2.10632438e+05
0.00730324      	2.10635696e+05
0.00730392      	2.10639296e+05
0.0073046       	2.10643304e+05
0.00730528      	2.10638811e+05
0.00730595      	2.10646363e+05
0.00730663      	2.10653041e+05
0.00730731      	2.10659650e+05
0.00730798      	2.10666583e+05
0.00730866      	2.10673908e+05
0.00730933      	2.10672296e+05
0.00731         	2.10683211e+05
0.00731067      	2.10693203e+05
0.00731134      	2.10703099e+05
0.00731202      	2.10713297e+05
0.00731269      	2.10723874e+05
0.00731335      	2.10725049e+05
0.00731402      	2.10739265e+05
0.00731469      	2.10752498e+05
0.00731535      	2.10765597e+05
0.00731602      	2.10778974e+05
0.00731668      	2.10782433e+05
0.00731734      	2.10799284e+05
0.007318        	2.10815166e+05
0.00731867      	2.10830853e+05
0.00731933      	2.10846725e+05
0.00731998      	2.10852318e+05
0.00732064      	2.10871759e+05
0.00732129      	2.10890103e+05
0.00732195      	2.10908296e+05
0.00732261      	2.10926627e+05
0.00732326      	2.10945289e+05
0.00732391      	2.10953185e+05
0.00732456      	2.10975578e+05
0.00732521      	2.10996861e+05
0.00732586      	2.11017843e+05
0.00732651      	2.11038973e+05
0.00732716      	2.11048670e+05
0.0073278       	2.11073450e+05
0.00732845      	2.11096957e+05
0.00732909      	2.11120145e+05
0.00732974      	2.11143475e+05
0.00733038      	2.11167058e+05
0.00733102      	2.11178640e+05
0.00733166      	2.11206059e+05
0.0073323       	2.11232128e+05
0.00733294      	2.11257824e+05
0.00733358      	2.11283620e+05
0.00733421      	2.11309630e+05
0.00733485      	2.11322924e+05
0.00733548      	2.11352836e+05
0.00733611      	2.11381293e+05
0.00733674      	2.11409311e+05
0.00733738      	2.11437383e+05
0.00733801      	2.11465634e+05
0.00733864      	2.11480385e+05
0.00733926      	2.11512611e+05
0.00733989      	2.11543279e+05
0.00734051      	2.11573440e+05
0.00734114      	2.11603602e+05
0.00734177      	2.11633909e+05
0.00734239      	2.11664480e+05
0.00734302      	2.11695427e+05
0.00734364      	2.11726688e+05
0.00734427      	2.11758287e+05
0.00734489      	2.11775028e+05
0.00734551      	2.11810916e+05
0.00734613      	2.11845051e+05
0.00734675      	2.11878619e+05
0.00734737      	2.11912029e+05
0.00734799      	2.11945537e+05
0.00734861      	2.11979324e+05
0.00734922      	2.12013367e+05
0.00734984      	2.12047698e+05
0.00735046      	2.12082399e+05
0.00735108      	2.12117388e+05
0.0073517       	2.12152682e+05
0.00735232      	2.12188336e+05
0.00735294      	2.12224271e+05
0.00735355      	2.12242572e+05
0.00735416      	2.12283271e+05
0.00735477      	2.12321818e+05
0.00735538      	2.12359537e+05
0.007356        	2.12397055e+05
0.00735661      	2.12434576e+05
0.00735722      	2.12472257e+05
0.00735783      	2.12510228e+05
0.00735844      	2.12548442e+05
0.00735905      	2.12586926e+05
0.00735966      	2.12625745e+05
0.00736027      	2.12664824e+05
0.00736089      	2.12704173e+05
0.0073615       	2.12743852e+05
0.00736211      	2.12783783e+05
0.00736272      	2.12823982e+05
0.00736333      	2.12864503e+05
0.00736394      	2.12905270e+05
0.00736455      	2.12946296e+05
0.00736516      	2.12987643e+05
0.00736577      	2.13029237e+05
0.00736639      	2.13071088e+05
0.007367        	2.13113258e+05
0.00736761      	2.13155670e+05
0.00736822      	2.13198342e+05
0.00736883      	2.13241331e+05
0.00736944      	2.13284563e+05
0.00737005      	2.13328051e+05
0.00737065      	2.13344062e+05
0.00737125      	2.13394310e+05
0.00737185      	2.13441111e+05
0.00737245      	2.13486515e+05
0.00737305      	2.13531304e+05
0.00737365      	2.13575941e+05
0.00737425      	2.13620704e+05
0.00737484      	2.13665626e+05
0.00737544      	2.13710774e+05
0.00737604      	2.13756236e+05
0.00737664      	2.13801944e+05
0.00737724      	2.13847910e+05
0.00737784      	2.13894194e+05
0.00737844      	2.13940725e+05
0.00737904      	2.13987510e+05
0.00737964      	2.14034613e+05
0.00738023      	2.14081958e+05
0.00738083      	2.14129553e+05
0.00738143      	2.14177462e+05
0.00738203      	2.14225610e+05
0.00738263      	2.14274014e+05
0.00738323      	2.14322735e+05
0.00738383      	2.14371694e+05
0.00738443      	2.14420907e+05
0.00738503      	2.14470440e+05
0.00738563      	2.14520214e+05
0.00738622      	2.14570246e+05
0.00738682      	2.14620599e+05
0.00738742      	2.14671199e+05
0.00738802      	2.14722061e+05
0.00738862      	2.14773243e+05
0.00738922      	2.14824678e+05
0.00738982      	2.14876375e+05
0.00739042      	2.14928398e+05
0.00739102      	2.14980676e+05
0.00739161      	2.15033218e+05
0.00739221      	2.15086092e+05
0.00739281      	2.15139223e+05
0.00739341      	2.15192626e+05
0.00739401      	2.15246356e+05
0.00739461      	2.15300349e+05
0.00739521      	2.15354615e+05
0.00739581      	2.15409214e+05
0.00739641      	2.15464080e+05
0.00739701      	2.15519217e+05
0.0073976       	2.15574692e+05
0.0073982       	2.15630432e+05
0.0073988       	2.15686447e+05
0.0073994       	2.15742807e+05
0.0074          	2.15799431e+05
0.00740057      	2.15795305e+05
0.00740115      	2.15865554e+05
0.00740172      	2.15928138e+05
0.00740229      	2.15987242e+05
0.00740286      	2.16040751e+05
0.00740344      	2.16098449e+05
0.00740401      	2.16155440e+05
0.00740458      	2.16212335e+05
0.00740515      	2.16269285e+05
0.00740572      	2.16326413e+05
0.00740629      	2.16379771e+05
0.00740686      	2.16438303e+05
0.00740743      	2.16496571e+05
0.007408        	2.16554911e+05
0.00740857      	2.16613379e+05
0.00740914      	2.16667928e+05
0.00740971      	2.16727734e+05
0.00741027      	2.16787233e+05
0.00741084      	2.16846723e+05
0.00741141      	2.16906390e+05
0.00741198      	2.16966227e+05
0.00741255      	2.17026274e+05
0.00741311      	2.17082447e+05
0.00741368      	2.17143884e+05
0.00741424      	2.17205023e+05
0.00741481      	2.17266206e+05
0.00741538      	2.17327485e+05
0.00741594      	2.17388938e+05
0.00741651      	2.17450655e+05
0.00741707      	2.17508362e+05
0.00741764      	2.17571410e+05
0.0074182       	2.17634202e+05
0.00741877      	2.17696953e+05
0.00741933      	2.17759803e+05
0.0074199       	2.17822880e+05
0.00742046      	2.17886144e+05
0.00742102      	2.17945331e+05
0.00742159      	2.18009986e+05
0.00742215      	2.18074297e+05
0.00742271      	2.18138562e+05
0.00742328      	2.18202974e+05
0.00742384      	2.18267528e+05
0.0074244       	2.18332265e+05
0.00742496      	2.18397264e+05
0.00742553      	2.18462461e+05
0.00742609      	2.18523495e+05
0.00742665      	2.18590085e+05
0.00742721      	2.18656300e+05
0.00742777      	2.18722448e+05
0.00742833      	2.18788719e+05
0.00742889      	2.18855109e+05
0.00742945      	2.18921661e+05
0.00743001      	2.18984012e+05
0.00743057      	2.19051907e+05
0.00743113      	2.19119403e+05
0.00743169      	2.19186866e+05
0.00743225      	2.19254361e+05
0.00743281      	2.19317475e+05
0.00743336      	2.19386216e+05
0.00743392      	2.19454513e+05
0.00743448      	2.19522686e+05
0.00743504      	2.19590935e+05
0.00743559      	2.19654722e+05
0.00743615      	2.19724108e+05
