# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
6.86607e-05     	-3.95139890e-04
6.9037e-05      	-3.95139890e-04
6.94112e-05     	-3.95139890e-04
6.97832e-05     	-3.95139890e-04
7.01532e-05     	-3.95139890e-04
7.05221e-05     	-3.95139890e-04
7.08888e-05     	-3.95139889e-04
7.12546e-05     	-3.95139889e-04
7.16193e-05     	-3.95139889e-04
7.1983e-05      	-3.95139889e-04
7.23457e-05     	-3.95139889e-04
7.27083e-05     	-3.95139889e-04
7.30699e-05     	-3.95139889e-04
7.34316e-05     	-3.95139889e-04
7.37922e-05     	-3.95139889e-04
7.41527e-05     	-3.95139889e-04
7.45133e-05     	-3.95139888e-04
7.48739e-05     	-3.95139888e-04
7.52335e-05     	-3.95139888e-04
7.55931e-05     	-3.95139888e-04
7.59526e-05     	-3.95139888e-04
7.63122e-05     	-3.95139888e-04
7.66717e-05     	-3.95139888e-04
7.70323e-05     	-3.95139888e-04
7.73929e-05     	-3.95139888e-04
7.77536e-05     	-3.95139888e-04
7.81152e-05     	-3.95139888e-04
7.84769e-05     	-3.95139888e-04
7.88397e-05     	-3.95139888e-04
7.92035e-05     	-3.95139888e-04
7.95673e-05     	-3.95139888e-04
7.99323e-05     	-3.95139888e-04
8.02995e-05     	-3.95139888e-04
8.06678e-05     	-3.95139888e-04
8.10384e-05     	-3.95139888e-04
8.14101e-05     	-3.95139888e-04
8.17842e-05     	-3.95139888e-04
8.21607e-05     	-3.95139888e-04
8.25384e-05     	-3.95139888e-04
8.29185e-05     	-3.95139888e-04
8.33012e-05     	-3.95139888e-04
8.36876e-05     	-3.95139888e-04
8.40766e-05     	-3.95139887e-04
8.44695e-05     	-3.95139887e-04
8.48666e-05     	-3.95139887e-04
8.52677e-05     	-3.95139887e-04
8.56731e-05     	-3.95139887e-04
8.60829e-05     	-3.95139887e-04
8.64987e-05     	-3.95139887e-04
8.6919e-05      	-3.95139887e-04
8.73426e-05     	-3.95139887e-04
8.77614e-05     	-3.95139887e-04
8.81771e-05     	-3.95139887e-04
8.85882e-05     	-3.95139887e-04
8.89963e-05     	-3.95139887e-04
8.94014e-05     	-3.95139887e-04
8.98036e-05     	-3.95139887e-04
9.02028e-05     	-3.95139887e-04
9.06007e-05     	-3.95139887e-04
9.09956e-05     	-3.95139887e-04
9.13891e-05     	-3.95139887e-04
9.17812e-05     	-3.95139887e-04
9.21719e-05     	-3.95139887e-04
9.25612e-05     	-3.95139887e-04
9.2949e-05      	-3.95139887e-04
9.33355e-05     	-3.95139887e-04
