# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000270858     	-1.07002487e-04
0.000271981     	-1.07002487e-04
0.000273104     	-1.07002487e-04
0.000274226     	-1.07002487e-04
0.000275349     	-1.07002487e-04
0.000276472     	-1.07002487e-04
0.000277595     	-1.07002487e-04
0.000278729     	-1.07002487e-04
0.000279862     	-1.07002487e-04
0.000281006     	-1.07002487e-04
0.000282162     	-1.07002487e-04
0.00028334      	-1.07002487e-04
0.00028453      	-1.07002487e-04
0.000285746     	-1.07002487e-04
0.000286974     	-1.07002487e-04
0.00028823      	-1.07002487e-04
0.000289515     	-1.07002487e-04
0.000290785     	-1.07002487e-04
0.000292026     	-1.07002487e-04
0.000293239     	-1.07002487e-04
0.000294439     	-1.07002487e-04
0.000295625     	-1.07002487e-04
0.000296798     	-1.07002487e-04
0.000297957     	-1.07002487e-04
0.000299104     	-1.07002487e-04
0.00030025      	-1.07002487e-04
0.000301384     	-1.07002487e-04
0.000302517     	-1.07002487e-04
0.000303651     	-1.07002487e-04
0.000304784     	-1.07002487e-04
0.000305918     	-1.07002487e-04
0.000307051     	-1.07002487e-04
0.000308199     	-1.07002487e-04
0.000309346     	-1.07002487e-04
0.000310509     	-1.07002487e-04
0.000311686     	-1.07002487e-04
0.000312864     	-1.07002487e-04
0.000314057     	-1.07002487e-04
0.000315268     	-1.07002487e-04
0.000316496     	-1.07002487e-04
0.000317742     	-1.07002487e-04
0.000319008     	-1.07002487e-04
0.000320254     	-1.07002487e-04
0.000321462     	-1.07002487e-04
0.000322652     	-1.07002487e-04
0.000323824     	-1.07002487e-04
0.000324996     	-1.07002487e-04
0.00032615      	-1.07002487e-04
0.000327286     	-1.07002487e-04
0.000328422     	-1.07002487e-04
0.00032954      	-1.07002487e-04
0.000330659     	-1.07002487e-04
0.000331777     	-1.07002487e-04
0.000332896     	-1.07002487e-04
0.000334014     	-1.07002487e-04
0.000335132     	-1.07002487e-04
0.000336251     	-1.07002487e-04
0.000337369     	-1.07002487e-04
0.000338488     	-1.07002487e-04
0.000339606     	-1.07002487e-04
0.000340746     	-1.07002487e-04
0.000341885     	-1.07002487e-04
0.000343047     	-1.07002487e-04
0.00034421      	-1.07002487e-04
0.000345397     	-1.07002487e-04
0.00034661      	-1.07002487e-04
0.000347824     	-1.07002487e-04
0.000349066     	-1.07002487e-04
0.000350339     	-1.07002487e-04
0.000351581     	-1.07002487e-04
0.000352822     	-1.07002487e-04
0.000354032     	-1.07002487e-04
0.000355211     	-1.07002487e-04
0.000356389     	-1.07002487e-04
0.000357568     	-1.07002487e-04
0.000358715     	-1.07002487e-04
0.000359862     	-1.07002487e-04
0.000361008     	-1.07002487e-04
0.000362155     	-1.07002487e-04
0.000363302     	-1.07002487e-04
0.000364449     	-1.07002487e-04
0.000365596     	-1.07002487e-04
0.000366742     	-1.07002487e-04
0.000367889     	-1.07002487e-04
0.000369036     	-1.07002487e-04
0.000370183     	-1.07002487e-04
0.000371376     	-1.07002487e-04
0.000372568     	-1.07002487e-04
0.000373761     	-1.07002487e-04
0.000374954     	-1.07002487e-04
0.000376206     	-1.07002487e-04
0.000377458     	-1.07002487e-04
0.000378711     	-1.07002487e-04
0.000380041     	-1.07002487e-04
0.000381289     	-1.07002487e-04
0.000382536     	-1.07002487e-04
0.000383783     	-1.07002487e-04
0.000385031     	-1.07002487e-04
0.000386278     	-1.07002487e-04
0.000387526     	-1.07002487e-04
0.00038866      	-1.07002487e-04
0.000389794     	-1.07002487e-04
0.000390928     	-1.07002487e-04
