# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(p_rgh)
8.25384e-05     	8.25501990e+06
8.29185e-05     	8.17718235e+06
8.33012e-05     	8.03826705e+06
8.36876e-05     	7.89763551e+06
8.40766e-05     	7.73852112e+06
8.44695e-05     	7.57815415e+06
8.48666e-05     	7.45634780e+06
8.52677e-05     	7.37324546e+06
8.56731e-05     	7.22661395e+06
8.60829e-05     	7.06971913e+06
8.64987e-05     	7.00927927e+06
8.6919e-05      	6.95689426e+06
8.73426e-05     	6.87501809e+06
8.77614e-05     	6.76147426e+06
8.81771e-05     	6.58927552e+06
8.85882e-05     	6.47963511e+06
8.89963e-05     	6.45409803e+06
8.94014e-05     	6.25484871e+06
8.98036e-05     	6.07406361e+06
9.02028e-05     	5.93977345e+06
9.06007e-05     	5.81444227e+06
9.09956e-05     	5.69544464e+06
9.13891e-05     	5.56898698e+06
9.17812e-05     	5.42937001e+06
9.21719e-05     	5.30755548e+06
9.25612e-05     	5.22981522e+06
9.2949e-05      	5.02113633e+06
9.33355e-05     	4.83877191e+06
9.37206e-05     	4.69069782e+06
9.41043e-05     	4.60028379e+06
9.44879e-05     	4.42773820e+06
9.48716e-05     	4.29171508e+06
9.52539e-05     	4.15212840e+06
9.56362e-05     	3.98989293e+06
9.60185e-05     	3.84627573e+06
9.64008e-05     	3.74162255e+06
9.6783e-05      	3.62738252e+06
9.71667e-05     	3.50458743e+06
9.75505e-05     	3.37060883e+06
9.79342e-05     	3.25372702e+06
9.83193e-05     	3.08516807e+06
9.87045e-05     	2.94649867e+06
9.90911e-05     	2.83447522e+06
9.94792e-05     	2.69493641e+06
9.98688e-05     	2.53577622e+06
0.00010026      	2.38816292e+06
0.000100653     	2.22726887e+06
0.000101047     	2.04630236e+06
0.000101443     	1.90201454e+06
0.00010184      	1.75734212e+06
0.000102241     	1.62767904e+06
0.000102643     	1.50796103e+06
0.000103049     	1.39887519e+06
0.000103458     	1.26184759e+06
0.000103869     	1.13756651e+06
0.000104283     	1.02559309e+06
0.000104701     	9.10812323e+05
0.000105123     	7.85343529e+05
0.000105548     	6.44400749e+05
0.000105977     	5.06917508e+05
0.000106411     	3.89897337e+05
0.000106846     	2.56407044e+05
0.000107285     	1.36577099e+05
0.000107731     	2.12250418e+04
0.000108181     	-1.05803765e+05
0.000108631     	-2.20358981e+05
0.000109077     	-3.24990439e+05
0.000109518     	-4.18011683e+05
0.000109955     	-5.05829567e+05
0.00011039      	-5.82489359e+05
0.000110821     	-6.66000858e+05
0.00011125      	-7.53117058e+05
0.000111675     	-8.39490431e+05
0.000112097     	-9.33959607e+05
0.000112518     	-9.92663498e+05
0.000112936     	-1.05283852e+06
0.000113353     	-1.11531250e+06
0.000113768     	-1.18115232e+06
0.00011418      	-1.23850256e+06
0.000114591     	-1.30146671e+06
0.000115001     	-1.35476588e+06
0.00011541      	-1.40569607e+06
0.000115819     	-1.44519637e+06
0.000116225     	-1.42945777e+06
0.000116632     	-1.55783108e+06
0.000117039     	-1.62408413e+06
0.000117443     	-1.74957778e+06
0.000117848     	-1.74687112e+06
0.000118253     	-1.75362508e+06
0.000118658     	-1.74951383e+06
0.00011906      	-1.71030902e+06
0.000119463     	-1.81182253e+06
0.000119866     	-1.95465169e+06
0.000120268     	-1.96407699e+06
0.000120673     	-1.99496114e+06
0.000121078     	-1.91486556e+06
0.000121482     	-1.93765264e+06
0.000121889     	-1.89693406e+06
0.000122296     	-1.90002678e+06
0.000122705     	-1.89845230e+06
0.000123114     	-1.91760120e+06
0.000123525     	-1.94373610e+06
0.000123939     	-1.96092749e+06
0.000124352     	-1.97104609e+06
0.000124768     	-1.98964690e+06
0.000125186     	-2.01450579e+06
0.000125606     	-2.03624721e+06
0.000126029     	-2.05090663e+06
0.000126456     	-2.03388501e+06
0.000126886     	-2.02938398e+06
0.000127319     	-2.02886714e+06
0.000127757     	-2.03814677e+06
0.0001282       	-2.01742939e+06
0.000128649     	-2.00117193e+06
0.000129103     	-1.98834430e+06
0.000129563     	-1.96438680e+06
0.00013003      	-1.95858260e+06
0.0001305       	-1.94476998e+06
0.000130966     	-1.92729779e+06
0.000131426     	-1.89535312e+06
0.000131883     	-1.88208080e+06
0.000132337     	-1.84988589e+06
0.000132789     	-1.82212582e+06
0.000133237     	-1.72265035e+06
0.000133682     	-1.69031206e+06
0.000134124     	-1.68733338e+06
0.000134563     	-1.64777750e+06
0.000135002     	-1.60769624e+06
0.000135438     	-1.56822645e+06
0.000135875     	-1.52850510e+06
0.000136308     	-1.49193802e+06
0.000136741     	-1.45059151e+06
0.000137172     	-1.41226971e+06
0.000137602     	-1.37002709e+06
0.000138032     	-1.30764123e+06
0.000138463     	-1.26574919e+06
0.000138893     	-1.23505429e+06
0.000139323     	-1.18939269e+06
0.000139754     	-1.14204285e+06
0.000140184     	-1.09467804e+06
0.000140614     	-1.04595380e+06
0.000141045     	-9.94581491e+05
0.000141475     	-9.44828570e+05
0.000141905     	-8.96271860e+05
0.000142339     	-8.42371618e+05
0.000142772     	-7.89528746e+05
0.000143209     	-7.37344055e+05
0.000143646     	-6.79761947e+05
0.000144086     	-6.28515519e+05
0.000144527     	-5.77105000e+05
0.00014497      	-5.26564159e+05
0.000145418     	-4.77904174e+05
0.000145865     	-4.27793246e+05
0.000146316     	-3.74327468e+05
0.000146771     	-3.18082283e+05
0.000147226     	-2.55519763e+05
0.000147685     	-1.94873538e+05
0.000148148     	-1.35001150e+05
0.000148611     	-7.78903922e+04
0.000149078     	-2.23883537e+04
0.00014955      	3.46532073e+04
0.000150026     	9.18726249e+04
0.000150506     	1.50153616e+05
0.000150991     	2.01723378e+05
0.000151481     	2.57281172e+05
0.000151977     	3.15980904e+05
0.000152472     	3.78504957e+05
0.000152962     	4.40458334e+05
0.000153447     	4.97255970e+05
0.000153926     	5.57360433e+05
0.000154401     	6.16890441e+05
0.000154872     	6.76346630e+05
0.000155342     	7.31398253e+05
0.000155807     	7.83597483e+05
0.000156272     	8.33405875e+05
0.000156732     	8.87241845e+05
0.000157193     	9.36612843e+05
0.000157648     	9.86234831e+05
0.000158103     	1.02941092e+06
0.000158559     	1.07685907e+06
0.000159014     	1.13467963e+06
0.000159465     	1.19289091e+06
0.000159915     	1.24083806e+06
0.000160365     	1.28428266e+06
0.000160816     	1.32989293e+06
0.000161266     	1.38541905e+06
0.000161717     	1.43280935e+06
0.000162167     	1.47990549e+06
0.000162617     	1.52647049e+06
0.000163068     	1.56886352e+06
0.000163518     	1.61069269e+06
0.000163968     	1.65287645e+06
0.000164425     	1.69437008e+06
0.000164881     	1.73875137e+06
0.000165337     	1.78368854e+06
0.000165793     	1.82864458e+06
0.000166255     	1.86971429e+06
0.000166717     	1.91638200e+06
0.00016718      	1.96192832e+06
0.000167649     	2.00309467e+06
0.000168117     	2.04901568e+06
0.000168593     	2.07173512e+06
0.000169069     	2.09813186e+06
0.000169552     	2.12189607e+06
0.000170043     	2.14762596e+06
0.000170535     	2.17920541e+06
0.000171034     	2.20627563e+06
0.000171533     	2.23804117e+06
0.000172042     	2.26518297e+06
0.000172559     	2.29244248e+06
0.000173077     	2.32420590e+06
0.000173605     	2.34785961e+06
0.000174133     	2.37588589e+06
0.000174661     	2.40404258e+06
0.000175178     	2.43581301e+06
0.000175695     	2.45991102e+06
0.000176202     	2.48935867e+06
0.000176708     	2.51061427e+06
0.000177214     	2.54177760e+06
0.00017771      	2.57207653e+06
0.000178205     	2.59233077e+06
0.0001787       	2.61158004e+06
0.000179196     	2.62840328e+06
0.000179691     	2.64217923e+06
0.000180186     	2.65986750e+06
0.00018067      	2.68176376e+06
0.000181153     	2.67924028e+06
0.000181636     	2.67435504e+06
0.000182119     	2.67270706e+06
0.000182603     	2.67140930e+06
0.000183086     	2.67003914e+06
0.000183569     	2.66929004e+06
0.000184052     	2.66728883e+06
0.000184536     	2.66444908e+06
0.000185019     	2.66106128e+06
0.000185502     	2.65737891e+06
0.000185985     	2.65358918e+06
0.000186486     	2.64201566e+06
0.000186986     	2.63751333e+06
0.000187487     	2.63316234e+06
0.000187987     	2.62801515e+06
0.000188488     	2.62983632e+06
0.000188989     	2.62429747e+06
0.000189489     	2.61406914e+06
0.00018999      	2.60577374e+06
